BS_m1_0h	BS_m2_0h	BS_m3_0h	BS_m4_6h_flag	BS_m5_6h_flag	BS_m6_6h_flag	BS_m7_6h_aCD3	BS_m8_6h_aCD3	BS_m9_6h_aCD3	BS_m10_24h_flag	BS_m11_24h_flag	BS_m12_24h_flag	BS_m13_24h_aCD3	BS_m14_24h_aCD3	BS_m15_24h_aCD3
ID=fig|671267.8.peg.475;Name=hypothetical protein	0	2	8	2	4	3	12	0	0	4	6	4	0	2	2
ID=fig|671267.8.peg.476;Name=hypothetical protein	0	2	4	0	0	3	0	1	0	0	2	0	0	2	0
ID=fig|671267.8.peg.477;Name=hypothetical protein	0	4	4	0	0	2	0	1	0	3	0	8	0	2	0
ID=fig|671267.8.peg.478;Name=hypothetical protein	4	14	16	4	6	4	6	4	4	11	14	8	4	8	2
ID=fig|671267.8.peg.479;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ID=fig|671267.8.peg.480;Name=Putative helicase	4	4	6	0	3	0	6	0	2	0	6	6	4	8	0
ID=fig|671267.8.peg.481;Name=FIG00408674: hypothetical protein	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.482;Name=Na(+)-translocating NADH-quinone reductase subunit A (EC 1.6.5.8);Ontology_term=KEGG_ENZYME:1.6.5.8	64	144	104	125	298	78	241	28	44	189	262	70	114	38	34
ID=fig|671267.8.peg.483;Name=Na(+)-translocating NADH-quinone reductase subunit B (EC 1.6.5.8);Ontology_term=KEGG_ENZYME:1.6.5.8	34	107	77	91	242	59	165	8	12	112	241	74	76	36	22
ID=fig|671267.8.peg.484;Name=Na(+)-translocating NADH-quinone reductase subunit C (EC 1.6.5.8);Ontology_term=KEGG_ENZYME:1.6.5.8	40	73	45	87	147	45	116	8	12	103	193	42	76	33	18
ID=fig|671267.8.peg.485;Name=Na(+)-translocating NADH-quinone reductase subunit D (EC 1.6.5.8);Ontology_term=KEGG_ENZYME:1.6.5.8	35	59	38	43	110	56	107	10	8	81	106	34	56	24	12
ID=fig|671267.8.peg.486;Name=Na(+)-translocating NADH-quinone reductase subunit E (EC 1.6.5.8);Ontology_term=KEGG_ENZYME:1.6.5.8	36	117	76	63	193	48	84	14	14	95	155	57	65	30	28
ID=fig|671267.8.peg.487;Name=Na(+)-translocating NADH-quinone reductase subunit F (EC 1.6.5.8);Ontology_term=KEGG_ENZYME:1.6.5.8	46	208	127	111	308	102	181	22	32	199	474	127	163	47	58
ID=fig|671267.8.peg.488;Name=ATP-dependent RNA helicase BT1154	78	82	70	46	58	36	68	14	24	121	104	106	46	86	36
ID=fig|671267.8.peg.489;Name=Phosphoserine aminotransferase (EC 2.6.1.52);Ontology_term=KEGG_ENZYME:2.6.1.52	165	459	359	271	499	419	348	92	114	692	935	565	369	269	147
ID=fig|671267.8.peg.490;Name=D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95);Ontology_term=KEGG_ENZYME:1.1.1.95	113	341	318	191	283	260	154	79	50	514	642	414	242	240	129
ID=fig|671267.8.peg.491;Name=FIG008208: hypothetical protein	113	354	281	106	144	273	122	36	42	523	518	431	212	190	145
ID=fig|671267.8.peg.492;Name=hypothetical protein	4	7	10	4	0	4	7	0	0	12	13	7	6	3	3
ID=fig|671267.8.peg.493;Name=Permease of the drug/metabolite transporter (DMT) superfamily	3	8	8	5	28	12	9	0	0	27	13	14	7	9	0
ID=fig|671267.8.peg.494;Name=beta-glycosyl hydrolase	87	150	108	45	171	86	100	18	24	222	321	258	128	82	62
ID=fig|671267.8.peg.495;Name=RNA-binding protein	371	44	64	22	117	50	42	4	22	136	294	275	106	204	148
ID=fig|671267.8.peg.496;Name=Hydrolase%2C haloacid dehalogenase-like family (EC 3.8.1.-);Ontology_term=KEGG_ENZYME:3.8.1.-	6	16	8	10	42	6	23	8	0	22	40	12	26	4	4
ID=fig|671267.8.peg.497;Name=DNA recombination protein RmuC	4	20	14	20	18	6	16	4	8	37	76	47	12	16	8
ID=fig|671267.8.peg.498;Name=Mg(2+)-transport-ATPase-associated protein MgtC	18	27	18	12	8	18	12	2	4	31	41	13	14	16	4
ID=fig|671267.8.peg.499;Name=Two-component system sensor histidine kinase FrrD	78	51	16	16	32	4	30	4	4	52	87	44	28	22	16
ID=fig|671267.8.peg.500;Name=Osmosensitive K+ channel histidine kinase KdpD	4	6	4	4	16	6	8	2	0	14	8	12	2	2	4
ID=fig|671267.8.peg.501;Name=hypothetical protein	2	2	0	4	2	2	4	0	0	0	4	0	4	0	0
ID=fig|671267.8.peg.502;Name=ADP-ribose pyrophosphatase (EC 3.6.1.13);Ontology_term=KEGG_ENZYME:3.6.1.13	4	2	6	4	12	4	8	2	2	10	27	10	4	4	2
ID=fig|671267.8.peg.503;Name=Arginase (EC 3.5.3.1);Ontology_term=KEGG_ENZYME:3.5.3.1	2	6	4	4	6	6	2	0	0	6	25	8	6	0	0
ID=fig|671267.8.peg.504;Name=Transcriptional regulator%2C HxlR family	6	0	0	0	4	0	0	0	2	3	4	2	1	4	0
ID=fig|671267.8.peg.505;Name=hypothetical protein	2	0	2	4	6	0	0	0	0	14	4	0	1	0	0
ID=fig|671267.8.peg.506;Name=probable transcription regulator VCA0264	252	102	40	52	98	31	32	7	12	218	225	117	72	47	48
ID=fig|671267.8.peg.507;Name=Acetyltransferase	118	58	48	44	64	28	48	0	12	183	157	127	98	45	46
ID=fig|671267.8.peg.508;Name=Class A beta-lactamase (EC 3.5.2.6);Ontology_term=KEGG_ENZYME:3.5.2.6	230	112	56	118	177	28	100	14	36	236	221	135	170	81	60
ID=fig|671267.8.peg.509;Name=Mobile element protein	0	0	0	2	0	2	0	2	0	2	5	0	2	0	0
ID=fig|671267.8.peg.510;Name=Transposase	62	36	47	10	26	22	8	8	4	31	22	30	4	24	12
ID=fig|671267.8.peg.511;Name=hypothetical protein	4	5	3	0	2	0	0	0	2	3	3	0	2	2	0
ID=fig|671267.8.peg.512;Name=hypothetical protein	284	537	688	328	446	331	319	358	317	443	360	372	289	449	188
ID=fig|671267.8.peg.513;Name=hypothetical protein	44	107	103	92	147	131	103	98	127	41	79	54	37	64	38
ID=fig|671267.8.peg.514;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.515;Name=mobilisation protein A	4	12	21	27	42	22	28	16	11	2	13	15	8	22	8
ID=fig|671267.8.peg.516;Name=Mobilization protein B	21	65	32	40	42	35	57	23	21	31	35	13	29	34	14
ID=fig|671267.8.peg.517;Name=Mobilization protein C	3	13	23	21	22	27	41	10	18	9	6	6	7	16	14
ID=fig|671267.8.peg.518;Name=hypothetical protein	0	0	0	0	0	2	2	0	0	2	2	0	0	0	0
ID=fig|671267.8.peg.519;Name=hypothetical protein	6	2	0	2	4	4	4	4	0	0	4	2	0	2	0
ID=fig|671267.8.peg.520;Name=hypothetical protein	2	0	2	0	2	0	0	0	0	4	2	2	0	2	0
ID=fig|671267.8.peg.521;Name=hypothetical protein	0	0	4	0	0	0	0	0	0	0	0	0	2	0	0
ID=fig|671267.8.peg.522;Name=hypothetical protein	0	0	0	2	0	0	4	0	0	0	0	4	0	0	0
ID=fig|671267.8.peg.523;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.524;Name=Chromosome (plasmid) partitioning protein ParA	10	6	18	42	52	38	22	28	22	15	34	41	6	18	8
ID=fig|671267.8.peg.525;Name=hypothetical protein	2	2	4	0	6	2	4	2	2	3	8	9	2	0	0
ID=fig|671267.8.peg.526;Name=hypothetical protein	41	54	68	78	134	70	96	32	54	88	100	100	30	56	29
ID=fig|671267.8.peg.527;Name=Huntingtin interacting protein E-like protein	35	24	19	46	49	30	57	14	16	48	38	42	20	28	17
ID=fig|671267.8.peg.528;Name=hypothetical protein	12	2	2	2	7	2	3	0	2	8	8	6	2	0	2
ID=fig|671267.8.peg.529;Name=Integrase	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.530;Name=hypothetical protein	0	0	2	0	0	0	2	0	0	0	2	0	0	0	0
ID=fig|671267.8.peg.531;Name=Integrase	0	2	0	0	0	0	0	0	0	0	2	0	2	0	0
ID=fig|671267.8.peg.532;Name=hypothetical protein	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0
ID=fig|671267.8.peg.533;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.534;Name=Clostridium cellulosome enzyme%2C dockerin type I precursor	2	0	2	2	0	2	2	0	0	0	2	0	0	0	0
ID=fig|671267.8.peg.535;Name=Putative DNA-binding protein	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0
ID=fig|671267.8.peg.536;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.537;Name=Putative peptidase	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
ID=fig|671267.8.peg.538;Name=Conjugative transposon protein TraN	2	6	0	2	2	0	2	0	0	6	0	0	2	2	2
ID=fig|671267.8.peg.539;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ID=fig|671267.8.peg.540;Name=hypothetical protein	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.541;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.542;Name=Conjugative transposon protein TraM	2	2	0	0	2	0	0	0	0	4	2	0	0	4	0
ID=fig|671267.8.peg.543;Name=p5482_14	2	1	2	2	0	0	2	0	0	4	0	2	2	4	6
ID=fig|671267.8.peg.544;Name=putative transmembrane protein	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0
ID=fig|671267.8.peg.545;Name=Conjugative transposon protein TraI	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.546;Name=Conjugative transposon protein TraG	0	0	4	0	0	2	0	0	0	2	0	0	2	2	4
ID=fig|671267.8.peg.547;Name=hypothetical protein	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.548;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.549;Name=hypothetical protein	0	0	4	2	0	0	0	0	0	0	0	8	0	0	0
ID=fig|671267.8.peg.550;Name=Type IV fimbrial biogenesis protein PilY1	0	2	0	0	2	2	2	0	0	6	2	2	0	0	0
ID=fig|671267.8.peg.551;Name=hypothetical protein	0	2	2	0	0	4	2	0	0	0	4	0	0	2	4
ID=fig|671267.8.peg.552;Name=hypothetical protein	2	8	8	0	0	2	0	0	0	4	0	2	0	8	2
ID=fig|671267.8.peg.553;Name=hypothetical protein	0	2	0	4	0	0	2	0	0	0	2	2	0	2	0
ID=fig|671267.8.peg.554;Name=hypothetical protein	0	4	0	0	2	0	0	2	0	0	2	0	0	0	0
ID=fig|671267.8.peg.555;Name=FIG00410332: hypothetical protein	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.556;Name=hypothetical protein	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0
ID=fig|671267.8.peg.557;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ID=fig|671267.8.peg.558;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.559;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.560;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ID=fig|671267.8.peg.561;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.562;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.563;Name=hypothetical protein	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.564;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.565;Name=DNA primase (EC 2.7.7.-);Ontology_term=KEGG_ENZYME:2.7.7.-	0	1	2	0	0	4	2	0	0	4	0	2	0	2	2
ID=fig|671267.8.peg.566;Name=hypothetical protein	4	2	10	2	0	2	0	0	0	2	4	4	0	0	2
ID=fig|671267.8.peg.567;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.568;Name=hypothetical protein	0	0	2	0	0	0	0	2	0	0	0	2	0	0	2
ID=fig|671267.8.peg.569;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ID=fig|671267.8.peg.570;Name=Glucoamylase (EC 3.2.1.3);Ontology_term=KEGG_ENZYME:3.2.1.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.571;Name=putative acetyltransferase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.572;Name=Hydrolase%2C haloacid delahogenase-like family	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.573;Name=FrrB	0	0	0	0	2	0	0	0	0	4	0	6	0	0	2
ID=fig|671267.8.peg.574;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ID=fig|671267.8.peg.575;Name=Potassium-transporting ATPase C chain (EC 3.6.3.12) (TC 3.A.3.7.1);Ontology_term=KEGG_ENZYME:3.6.3.12	0	0	0	0	0	0	2	0	0	0	2	2	0	0	0
ID=fig|671267.8.peg.576;Name=Potassium-transporting ATPase B chain (EC 3.6.3.12) (TC 3.A.3.7.1);Ontology_term=KEGG_ENZYME:3.6.3.12	2	10	6	0	4	0	2	0	2	10	10	10	2	4	2
ID=fig|671267.8.peg.577;Name=Potassium-transporting ATPase A chain (EC 3.6.3.12) (TC 3.A.3.7.1);Ontology_term=KEGG_ENZYME:3.6.3.12	0	2	0	0	0	0	0	0	0	4	6	6	0	0	0
ID=fig|671267.8.peg.578;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.579;Name=O-acetyl-ADP-ribose deacetylase	18	25	20	4	22	8	15	14	9	38	54	39	16	16	6
ID=fig|671267.8.peg.580;Name=Two-component system response regulator protein	20	9	12	20	34	4	23	6	7	28	38	30	16	8	4
ID=fig|671267.8.peg.581;Name=Integrase	0	2	0	0	4	0	0	0	2	0	1	0	0	0	0
ID=fig|671267.8.peg.582;Name=hypothetical protein	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0
ID=fig|671267.8.peg.583;Name=FIG00897594: hypothetical protein	0	0	1	0	2	4	0	5	0	4	4	0	6	2	0
ID=fig|671267.8.peg.584;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.585;Name=DNA primase (EC 2.7.7.-);Ontology_term=KEGG_ENZYME:2.7.7.-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.586;Name=Mobilization protein BmgB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.587;Name=Mobilization protein BmgA	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.588;Name=Transcriptional regulator%2C AraC family	4	2	0	0	4	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.589;Name=Bicyclomycin resistance protein	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.590;Name=CTnDOT two-component system sensor histidine kinase RteA	0	2	9	2	4	4	2	0	4	6	2	2	4	2	0
ID=fig|671267.8.peg.591;Name=CTnDOT two-component system response regulator and RteC activator%2C RteB	7	11	6	5	4	6	10	10	0	12	4	2	3	8	9
ID=fig|671267.8.peg.592;Name=hypothetical protein	2	0	2	0	4	0	2	0	2	6	4	5	0	1	0
ID=fig|671267.8.peg.593;Name=Permease of the drug/metabolite transporter (DMT) superfamily	10	19	25	19	26	10	19	2	3	21	38	23	18	3	12
ID=fig|671267.8.peg.594;Name=Maltose O-acetyltransferase (EC 2.3.1.79);Ontology_term=KEGG_ENZYME:2.3.1.79	27	61	74	30	60	42	41	6	19	58	116	94	37	62	30
ID=fig|671267.8.peg.595;Name=hypothetical protein	111	76	107	51	36	32	34	16	32	179	268	208	83	114	50
ID=fig|671267.8.peg.596;Name=Methionine aminopeptidase (EC 3.4.11.18);Ontology_term=KEGG_ENZYME:3.4.11.18	33	78	19	38	88	32	52	2	12	80	180	70	77	24	19
ID=fig|671267.8.peg.597;Name=N(6)-L-threonylcarbamoyladenine synthase (EC 2.3.1.234);Ontology_term=KEGG_ENZYME:2.3.1.234	35	67	41	26	92	20	68	24	12	99	153	70	69	34	15
ID=fig|671267.8.peg.598;Name=Nicotinamide-nucleotide amidase (EC 3.5.1.42);Ontology_term=KEGG_ENZYME:3.5.1.42	34	32	16	20	74	28	45	3	4	45	125	68	22	12	16
ID=fig|671267.8.peg.599;Name=LSU ribosomal protein L28p @ LSU ribosomal protein L28p%2C zinc-independent	399	67	29	82	171	21	111	6	13	137	235	105	76	33	17
ID=fig|671267.8.peg.600;Name=LSU ribosomal protein L33p @ LSU ribosomal protein L33p%2C zinc-independent	224	38	9	46	81	15	61	1	1	57	144	62	63	28	21
ID=fig|671267.8.peg.601;Name=Uncharacterized protein Fjoh_4981%2C DUF4295-containing	129	27	14	28	32	7	38	4	4	55	72	29	26	11	8
ID=fig|671267.8.peg.602;Name=Signal recognition particle receptor FtsY	94	79	52	31	101	46	60	16	24	89	164	75	60	44	42
ID=fig|671267.8.peg.603;Name=Ribosomal protein S12p Asp88 (E. coli) methylthiotransferase (EC 2.8.4.4);Ontology_term=KEGG_ENZYME:2.8.4.4	47	36	26	23	65	12	52	0	4	74	97	41	48	16	10
ID=fig|671267.8.peg.604;Name=Integration host factor alpha/beta	53	19	12	4	14	6	8	0	2	31	25	10	16	16	4
ID=fig|671267.8.peg.605;Name=putative integration host factor IHF alpha subunit	44	24	18	18	34	8	10	4	4	92	76	56	48	14	12
ID=fig|671267.8.peg.606;Name=MoxR-like ATPase in aerotolerance operon	45	55	40	133	175	61	157	20	43	108	123	59	41	15	14
ID=fig|671267.8.peg.607;Name=hypothetical protein	71	3	2	15	25	5	27	6	11	22	39	15	15	13	0
ID=fig|671267.8.peg.608;Name=hypothetical protein PA3071	161	60	50	90	144	79	159	34	36	87	143	83	32	79	26
ID=fig|671267.8.peg.609;Name=FIG00936810: hypothetical protein	77	70	68	103	147	63	119	44	43	97	131	44	32	57	18
ID=fig|671267.8.peg.610;Name=Aerotolerance protein BatA	44	36	31	87	156	42	125	47	28	65	113	64	29	27	12
ID=fig|671267.8.peg.611;Name=Aerotolerance protein BatB	24	32	34	59	157	38	71	15	29	81	100	44	23	13	2
ID=fig|671267.8.peg.612;Name=Aerotolerance protein BatC	23	27	16	32	92	20	35	6	6	42	66	50	24	20	6
ID=fig|671267.8.peg.613;Name=Aerotolerance protein BatD	60	62	70	120	166	44	94	12	28	154	231	119	84	40	40
ID=fig|671267.8.peg.614;Name=Aerotolerance protein BatE	33	30	15	26	47	14	39	3	10	55	88	65	18	24	7
ID=fig|671267.8.peg.615;Name=putative membrane-associated phospholipid phosphatase	50	36	27	14	32	6	12	1	8	21	31	22	11	16	9
ID=fig|671267.8.peg.616;Name=hypothetical protein	496	291	118	33	37	24	48	6	32	189	381	239	143	152	102
ID=fig|671267.8.peg.617;Name=UspA	78	75	18	47	29	14	10	4	22	139	140	116	62	76	44
ID=fig|671267.8.peg.618;Name=TPR domain protein	728	231	78	106	139	60	115	16	34	378	778	442	250	90	58
ID=fig|671267.8.peg.619;Name=DNA gyrase subunit A (EC 5.99.1.3);Ontology_term=KEGG_ENZYME:5.99.1.3	154	155	82	106	263	60	165	4	14	333	332	202	158	50	48
ID=fig|671267.8.peg.620;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.621;Name=ATP-dependent Clp protease ATP-binding subunit ClpA	173	224	146	234	362	122	486	65	108	282	338	128	184	102	88
ID=fig|671267.8.peg.622;Name=Chaperone protein HtpG	56	62	44	133	242	88	388	24	60	234	222	90	198	58	26
ID=fig|671267.8.peg.623;Name=putative patatin-like phospholipase	14	26	28	8	44	16	16	2	2	50	56	70	28	12	10
ID=fig|671267.8.peg.624;Name=4-hydroxy-tetrahydrodipicolinate synthase (EC 4.3.3.7);Ontology_term=KEGG_ENZYME:4.3.3.7	66	80	38	36	100	44	57	12	10	201	216	105	63	30	24
ID=fig|671267.8.peg.625;Name=DNA ligase (NAD(+)) (EC 6.5.1.2);Ontology_term=KEGG_ENZYME:6.5.1.2	38	62	60	68	94	30	121	8	12	83	110	64	48	26	16
ID=fig|671267.8.peg.626;Name=tRNA (guanine(37)-N(1))-methyltransferase (EC 2.1.1.228);Ontology_term=KEGG_ENZYME:2.1.1.228	26	28	10	6	12	8	14	2	4	28	22	18	20	8	2
ID=fig|671267.8.peg.627;Name=Dihydroorotate dehydrogenase (NAD(+))%2C catalytic subunit (EC 1.3.1.14);Ontology_term=KEGG_ENZYME:1.3.1.14	44	36	20	14	19	4	28	4	6	29	39	21	15	10	8
ID=fig|671267.8.peg.628;Name=Dihydroorotate dehydrogenase (NAD(+))%2C electron transfer subunit (EC 1.3.1.14);Ontology_term=KEGG_ENZYME:1.3.1.14	2	14	8	16	29	14	18	0	4	39	23	24	15	8	2
ID=fig|671267.8.peg.629;Name=Putative DNA-binding protein	4	6	3	0	8	4	8	0	2	12	9	8	12	2	2
ID=fig|671267.8.peg.630;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ID=fig|671267.8.peg.631;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.632;Name=DNA polymerase III delta subunit (EC 2.7.7.7);Ontology_term=KEGG_ENZYME:2.7.7.7	38	19	21	12	26	24	24	2	8	44	81	36	24	26	14
ID=fig|671267.8.peg.633;Name=AMP nucleosidase (EC 3.2.2.4);Ontology_term=KEGG_ENZYME:3.2.2.4	16	29	27	12	34	30	30	8	12	48	63	52	14	36	20
ID=fig|671267.8.peg.634;Name=hypothetical protein	2	6	0	2	12	0	4	2	0	4	8	2	0	0	2
ID=fig|671267.8.peg.635;Name=FIG137478: Hypothetical protein	323	62	34	53	167	26	112	6	8	83	173	48	84	52	24
ID=fig|671267.8.peg.636;Name=GTP cyclohydrolase 1 type 2 homolog YbgI @ Bsu YqfO NIF3/CutA domain	58	36	22	29	87	24	72	6	0	61	103	22	16	26	10
ID=fig|671267.8.peg.637;Name=hypothetical protein	1	0	0	0	1	3	4	0	0	0	0	2	0	2	0
ID=fig|671267.8.peg.638;Name=Probable iron export permease protein FetB	6	2	5	8	48	5	18	0	2	11	24	7	4	10	2
ID=fig|671267.8.peg.639;Name=Probable iron export ATP-binding protein FetA	4	6	3	6	20	12	36	0	2	10	16	13	2	2	6
ID=fig|671267.8.peg.640;Name=Prolyl-tRNA synthetase (EC 6.1.1.15)%2C archaeal/eukaryal type;Ontology_term=KEGG_ENZYME:6.1.1.15	106	120	68	95	271	68	192	32	24	189	228	163	119	67	62
ID=fig|671267.8.peg.641;Name=hypothetical protein	72	74	48	31	73	52	38	2	6	127	207	165	44	46	28
ID=fig|671267.8.peg.642;Name=1%2C4-alpha-glucan (glycogen) branching enzyme%2C GH-13-type (EC 2.4.1.18);Ontology_term=KEGG_ENZYME:2.4.1.18	180	424	322	166	310	150	227	40	70	711	927	854	293	212	164
ID=fig|671267.8.peg.643;Name=probable beta-D-galactosidase	16	60	35	17	62	26	28	8	14	101	173	153	57	33	34
ID=fig|671267.8.peg.644;Name=hypothetical protein	141	46	44	30	53	22	37	2	12	115	125	101	77	84	35
ID=fig|671267.8.peg.645;Name=Inositol-1-monophosphatase (EC 3.1.3.25);Ontology_term=KEGG_ENZYME:3.1.3.25	21	34	30	46	63	30	82	24	24	49	59	37	29	11	14
ID=fig|671267.8.peg.646;Name=MORN repeat protein	6	8	12	14	24	24	24	2	14	36	50	62	7	13	0
ID=fig|671267.8.peg.647;Name=Zinc protease	37	67	45	54	99	41	73	18	22	101	87	102	45	23	18
ID=fig|671267.8.peg.648;Name=3-deoxy-manno-octulosonate cytidylyltransferase (EC 2.7.7.38);Ontology_term=KEGG_ENZYME:2.7.7.38	15	39	47	52	72	35	71	14	16	93	93	86	61	53	20
ID=fig|671267.8.peg.649;Name=2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase (EC 2.7.6.3);Ontology_term=KEGG_ENZYME:2.7.6.3	10	14	14	8	20	4	11	0	2	10	20	10	13	2	6
ID=fig|671267.8.peg.650;Name=Efflux ABC transporter%2C permease protein	3	2	2	0	2	2	2	0	2	5	8	6	3	0	0
ID=fig|671267.8.peg.651;Name=Efflux ABC transporter%2C permease protein	1	0	0	0	2	0	0	0	2	0	0	0	0	0	0
ID=fig|671267.8.peg.652;Name=Transaldolase (EC 2.2.1.2);Ontology_term=KEGG_ENZYME:2.2.1.2	37	34	34	41	26	40	47	8	14	66	74	47	32	26	18
ID=fig|671267.8.peg.653;Name=hypothetical protein	69	110	94	131	120	90	91	58	122	160	144	151	42	117	69
ID=fig|671267.8.peg.654;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.655;Name=Monofunctional biosynthetic peptidoglycan transglycosylase	148	236	212	200	320	148	320	72	100	228	384	164	144	144	110
ID=fig|671267.8.peg.656;Name=Aspartate carbamoyltransferase (EC 2.1.3.2);Ontology_term=KEGG_ENZYME:2.1.3.2	32	102	53	52	82	41	80	8	39	162	265	171	60	56	52
ID=fig|671267.8.peg.657;Name=Aspartate carbamoyltransferase regulatory chain (PyrI)	9	54	46	12	45	26	23	3	14	75	133	72	63	36	22
ID=fig|671267.8.peg.658;Name=Flavoredoxin	48	52	31	29	36	22	19	11	4	86	65	42	28	24	18
ID=fig|671267.8.peg.659;Name=hypothetical protein	27	15	6	3	13	3	2	0	6	25	18	8	10	8	0
ID=fig|671267.8.peg.660;Name=Serine hydroxymethyltransferase (EC 2.1.2.1);Ontology_term=KEGG_ENZYME:2.1.2.1	135	338	244	120	380	228	167	44	36	546	584	374	328	172	94
ID=fig|671267.8.peg.661;Name=Na+-driven multidrug efflux pump	4	2	6	0	17	0	28	2	2	18	14	0	4	2	0
ID=fig|671267.8.peg.662;Name=OmpA family outer membrane protein	112	168	108	196	236	188	310	122	122	184	403	163	140	72	70
ID=fig|671267.8.peg.663;Name=Monofunctional biosynthetic peptidoglycan transglycosylase	13	24	16	54	45	28	49	8	14	27	39	9	20	12	12
ID=fig|671267.8.peg.664;Name=probable lipoprotein YPO2292	27	12	10	18	36	10	22	2	4	44	36	20	20	18	6
ID=fig|671267.8.peg.665;Name=Pyruvate:Oxaloacetate transcarboxylase domain protein / Biotin carboxyl carrier protein	112	210	201	226	276	205	238	114	166	137	245	217	144	156	73
ID=fig|671267.8.peg.666;Name=RNA polymerase ECF-type sigma factor	24	12	14	58	26	26	94	38	74	30	26	24	104	26	12
ID=fig|671267.8.peg.667;Name=UPF0126 inner membrane protein BT_1201	18	38	24	12	28	8	20	4	2	40	30	28	16	14	10
ID=fig|671267.8.peg.668;Name=UDP-N-acetylglucosamine 2-epimerase (EC 5.1.3.14);Ontology_term=KEGG_ENZYME:5.1.3.14	64	102	70	24	46	44	34	12	34	72	114	90	42	46	26
ID=fig|671267.8.peg.669;Name=hypothetical protein	71	80	24	26	60	32	46	8	4	68	82	40	50	22	12
