PD_m1_0h	PD_m2_0h	PD_m3_0h	PD_m4_6h_flag	PD_m5_6h_flag	PD_m6_6h_flag	PD_m7_6h_aCD3	PD_m8_6h_aCD3	PD_m9_6h_aCD3	PD_m10_24h_flag	PD_m11_24h_flag	PD_m12_24h_flag	PD_m13_24h_aCD3	PD_m14_24h_aCD3	PD_m15_24h_aCD3
ID=fig|823.92.peg.790;Name=Hemolysin A	18	24	31	20	30	18	26	10	8	52	34	31	21	14	8
ID=fig|823.92.peg.791;Name=Hemolysin A	6	14	37	19	28	12	22	6	10	48	50	29	35	8	0
ID=fig|823.92.peg.792;Name=FIG00897943: hypothetical protein	0	0	0	1	4	4	0	0	0	2	4	0	0	0	0
ID=fig|823.92.peg.793;Name=FIG00899140: hypothetical protein	0	0	10	2	2	2	0	0	0	8	10	8	2	0	0
ID=fig|823.92.peg.794;Name=FIG00896374: hypothetical protein	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.795;Name=Cardiolipin synthetase (EC 2.7.8.-);Ontology_term=KEGG_ENZYME:2.7.8.-	43	31	27	30	42	40	31	30	48	54	57	70	38	48	32
ID=fig|823.92.peg.796;Name=16S rRNA (guanine(966)-N(2))-methyltransferase (EC 2.1.1.171);Ontology_term=KEGG_ENZYME:2.1.1.171	2	5	1	10	13	12	15	6	2	16	14	14	11	11	8
ID=fig|823.92.peg.797;Name=FIG032012: hypothetical protein	0	10	6	6	22	8	10	2	15	22	43	22	25	2	4
ID=fig|823.92.peg.798;Name=FIG00404578: hypothetical protein	288	337	304	158	206	174	400	48	161	396	714	534	436	204	110
ID=fig|823.92.peg.799;Name=RecD-like DNA helicase Atu2026	26	16	16	16	22	14	14	4	4	30	32	32	26	10	10
ID=fig|823.92.peg.800;Name=FIG00896645: hypothetical protein	92	57	42	57	58	39	113	34	69	51	111	82	58	36	16
ID=fig|823.92.peg.801;Name=16S rRNA (cytidine(1402)-2'-O)-methyltransferase (EC 2.1.1.198);Ontology_term=KEGG_ENZYME:2.1.1.198	12	48	36	39	63	44	84	34	69	86	67	62	46	30	23
ID=fig|823.92.peg.802;Name=lipoprotein%2C putative	295	175	156	200	209	186	414	143	221	215	334	347	169	193	51
ID=fig|823.92.peg.803;Name=2-haloalkanoic acid dehalogenase (EC 3.8.1.2);Ontology_term=KEGG_ENZYME:3.8.1.2	11	5	8	19	13	5	17	5	4	30	10	16	11	15	0
ID=fig|823.92.peg.804;Name=FAD:protein FMN transferase (EC 2.7.1.180);Ontology_term=KEGG_ENZYME:2.7.1.180	6	30	32	8	32	14	46	6	12	26	26	12	22	12	6
ID=fig|823.92.peg.805;Name=Peptide chain release factor 3	14	30	38	30	64	32	62	8	14	40	73	48	64	40	4
ID=fig|823.92.peg.806;Name=dTDP-4-dehydrorhamnose reductase (EC 1.1.1.133);Ontology_term=KEGG_ENZYME:1.1.1.133	27	19	10	12	32	18	31	2	18	33	40	42	24	22	4
ID=fig|823.92.peg.807;Name=FIG00937849: hypothetical protein	11	9	10	2	21	10	29	8	12	18	27	32	18	9	6
ID=fig|823.92.peg.808;Name=UDP-N-acetylmuramate--L-alanine ligase (EC 6.3.2.8) (UDP-N-acetylmuramoyl-L-alanine synthetase);Ontology_term=KEGG_ENZYME:6.3.2.8	10	14	12	10	41	14	24	6	6	16	29	30	36	10	6
ID=fig|823.92.peg.809;Name=FIG00899269: hypothetical protein	10	30	26	16	30	16	24	16	21	24	32	20	20	36	18
ID=fig|823.92.peg.810;Name=FIG00896599: hypothetical protein	12	6	4	4	36	28	32	12	13	24	57	29	15	12	6
ID=fig|823.92.peg.811;Name=Conserved protein%2C with a weak D-galactarate dehydratase/altronate hydrolase domain	42	52	74	34	82	64	102	44	64	71	100	107	65	58	32
ID=fig|823.92.peg.812;Name=Cell surface glycan-binding lipoprotein%2C utilization system for glycans and polysaccharides (PUL)%2C SusD family	46	128	99	30	89	20	105	94	55	146	208	90	166	72	40
ID=fig|823.92.peg.813;Name=Outer membrane TonB-dependent transporter%2C utilization system for glycans and polysaccharides (PUL)%2C SusC family	84	140	129	36	205	46	135	110	59	199	366	128	250	88	38
ID=fig|823.92.peg.814;Name=beta-lactamase-like	0	11	4	8	10	8	16	14	7	5	10	6	8	10	2
ID=fig|823.92.peg.815;Name=beta-glycosyl hydrolase	92	312	246	271	338	371	453	209	192	304	282	300	340	186	212
ID=fig|823.92.peg.816;Name=ApeH acylamino-acid-releasing enzyme (EC 3.4.19.1);Ontology_term=KEGG_ENZYME:3.4.19.1	10	30	42	39	52	35	67	33	28	90	100	52	66	32	32
ID=fig|823.92.peg.817;Name=Outer membrane TonB-dependent transporter%2C utilization system for glycans and polysaccharides (PUL)%2C SusC family	63	294	216	96	93	92	103	21	52	654	751	943	164	173	79
ID=fig|823.92.peg.818;Name=Cell surface glycan-binding lipoprotein%2C utilization system for glycans and polysaccharides (PUL)%2C SusD family	45	297	189	61	74	76	95	63	70	474	462	535	150	156	81
ID=fig|823.92.peg.819;Name=Phosphoribosylformylglycinamidine synthase%2C synthetase subunit (EC 6.3.5.3) / Phosphoribosylformylglycinamidine synthase%2C glutamine amidotransferase subunit (EC 6.3.5.3);Ontology_term=KEGG_ENZYME:6.3.5.3,KEGG_ENZYME:6.3.5.3	88	318	316	196	428	198	374	172	164	360	400	336	318	168	128
ID=fig|823.92.peg.820;Name=FIG00898230: hypothetical protein	6	4	3	8	14	0	7	2	2	12	10	4	6	2	0
ID=fig|823.92.peg.821;Name=Oar protein	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ID=fig|823.92.peg.822;Name=FIG00897374: hypothetical protein	0	0	0	0	2	2	0	0	0	4	0	4	0	0	4
ID=fig|823.92.peg.823;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.824;Name=FIG00897691: hypothetical protein	6	4	0	3	2	5	8	0	7	4	10	8	10	1	4
ID=fig|823.92.peg.825;Name=FIG00896559: hypothetical protein	25	74	70	64	196	34	68	26	72	253	865	273	120	65	26
ID=fig|823.92.repeat.9;Name=repeat region	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0
ID=fig|823.92.peg.826;Name=3-dehydroquinate synthase (EC 4.2.3.4);Ontology_term=KEGG_ENZYME:4.2.3.4	18	28	33	34	62	21	50	11	22	35	63	41	44	21	10
ID=fig|823.92.peg.827;Name=Alanyl-tRNA synthetase (EC 6.1.1.7);Ontology_term=KEGG_ENZYME:6.1.1.7	102	88	72	44	176	78	198	114	70	144	324	115	136	88	68
ID=fig|823.92.peg.828;Name=Peptidase M23B	43	41	24	18	56	40	76	16	18	35	52	32	52	22	12
ID=fig|823.92.peg.829;Name=Transcriptional regulator%2C MerR family	1	21	6	13	12	2	21	2	4	14	16	14	6	2	0
ID=fig|823.92.peg.830;Name=FIG00410332: hypothetical protein	31	20	37	41	59	19	54	20	8	39	44	28	55	16	9
ID=fig|823.92.peg.831;Name=Sodium-calcium exchanger	43	57	53	38	65	20	66	8	12	73	103	46	56	24	17
ID=fig|823.92.peg.832;Name=Guanosine-3'%2C5'-bis(diphosphate) 3'-pyrophosphohydrolase (EC 3.1.7.2) / GTP pyrophosphokinase (EC 2.7.6.5)%2C (p)ppGpp synthetase II;Ontology_term=KEGG_ENZYME:3.1.7.2,KEGG_ENZYME:2.7.6.5	110	184	217	126	220	201	253	105	106	375	290	415	269	160	112
ID=fig|823.92.peg.833;Name=Biotin synthase (EC 2.8.1.6);Ontology_term=KEGG_ENZYME:2.8.1.6	6	12	0	12	34	0	14	5	4	18	12	6	10	4	6
ID=fig|823.92.peg.834;Name=Biotin synthase (EC 2.8.1.6);Ontology_term=KEGG_ENZYME:2.8.1.6	4	0	0	4	4	0	2	0	2	10	3	0	0	0	0
ID=fig|823.92.peg.835;Name=Arsenate reductase (EC 1.20.4.1);Ontology_term=KEGG_ENZYME:1.20.4.1	2	0	0	2	14	2	9	2	2	14	9	10	4	2	0
ID=fig|823.92.peg.836;Name=Phosphate-selective porin O and P	26	14	10	24	39	21	53	11	6	62	37	22	18	8	6
ID=fig|823.92.peg.837;Name=hypothetical protein	148	70	84	70	223	101	227	66	58	190	101	108	109	100	36
ID=fig|823.92.peg.838;Name=Glycerol uptake facilitator protein	23	18	30	46	102	22	87	21	32	48	38	31	35	36	12
ID=fig|823.92.peg.839;Name=Transcriptional regulator%2C ArsR family	4	10	16	12	16	12	22	4	6	24	13	20	11	15	4
ID=fig|823.92.peg.840;Name=Transcriptional regulator%2C AsnC family	26	6	8	12	4	8	9	12	4	13	13	6	10	1	6
ID=fig|823.92.peg.841;Name=O-acetylhomoserine sulfhydrylase (EC 2.5.1.49) / O-succinylhomoserine sulfhydrylase (EC 2.5.1.48);Ontology_term=KEGG_ENZYME:2.5.1.49,KEGG_ENZYME:2.5.1.48	4	14	32	16	6	2	4	10	4	81	30	22	2	28	4
ID=fig|823.92.peg.842;Name=probable polyvinylalcohol dehydrogenase	26	22	66	28	12	18	12	14	26	84	44	84	30	68	20
ID=fig|823.92.peg.843;Name=probable polyvinylalcohol dehydrogenase	4	0	4	8	4	4	8	4	0	20	0	12	6	8	2
ID=fig|823.92.peg.844;Name=hypothetical protein	2	8	14	10	10	8	6	6	4	16	14	26	4	18	4
ID=fig|823.92.peg.845;Name=hypothetical protein	4	4	6	12	6	12	12	6	2	20	17	26	13	16	6
ID=fig|823.92.peg.846;Name=hypothetical protein	8	8	10	30	24	20	26	16	8	45	42	39	24	46	6
ID=fig|823.92.peg.847;Name=Lipoprotein releasing system ATP-binding protein LolD	8	8	8	2	6	4	7	8	0	10	5	17	3	8	2
ID=fig|823.92.peg.848;Name=Serine/threonine protein kinase related protein	4	2	0	5	6	0	5	0	0	8	14	14	8	3	0
ID=fig|823.92.peg.849;Name=glutamate synthase beta chain-related oxidoreductase%2C containing 2Fe-2S and 4Fe-4S clusters	0	4	8	6	14	4	2	2	4	4	10	20	2	9	8
ID=fig|823.92.peg.850;Name=NAD-reducing hydrogenase subunit HoxF (EC 1.12.1.2);Ontology_term=KEGG_ENZYME:1.12.1.2	12	8	18	15	18	10	21	7	6	12	22	38	17	28	4
ID=fig|823.92.peg.851;Name=hypothetical protein	20	30	23	35	19	22	25	23	40	50	44	50	29	44	12
ID=fig|823.92.peg.852;Name=Ferredoxin	16	14	8	18	16	20	44	6	16	18	14	22	14	28	6
ID=fig|823.92.peg.853;Name=hypothetical protein	4	9	7	16	16	13	18	2	4	10	12	4	4	8	6
ID=fig|823.92.peg.854;Name=hypothetical protein	0	9	4	6	8	5	20	0	0	12	16	8	0	4	6
ID=fig|823.92.peg.855;Name=hypothetical protein	10	6	8	8	12	12	6	10	6	16	14	18	4	4	2
ID=fig|823.92.peg.856;Name=Terpene biosynthesis	15	12	12	40	61	14	34	14	22	32	52	31	38	29	13
ID=fig|823.92.peg.857;Name=probable beta-subunit of geranylgeranyltransferase or farnesyltransferase	7	6	6	16	25	10	21	2	12	15	27	25	10	15	3
ID=fig|823.92.peg.858;Name=Geranylgeranyl diphosphate synthase (EC 2.5.1.29);Ontology_term=KEGG_ENZYME:2.5.1.29	16	34	34	63	104	29	67	26	50	49	57	55	57	36	22
ID=fig|823.92.peg.859;Name=Fe-S oxidoreductase	10	6	14	39	83	21	44	29	16	34	16	17	31	12	14
ID=fig|823.92.peg.860;Name=putative Fe-S containing oxidoreductase( EC:1.- )	20	20	16	34	58	12	70	23	36	32	48	30	52	32	10
ID=fig|823.92.peg.861;Name=FIG00896457: hypothetical protein	366	42	12	118	92	52	204	16	137	108	156	85	197	127	97
ID=fig|823.92.peg.862;Name=Two-component transcriptional response regulator%2C LuxR family	39	8	4	29	17	6	39	2	2	12	13	15	5	12	4
ID=fig|823.92.peg.863;Name=Two-component system sensor histidine kinase	25	12	16	56	43	9	43	2	6	38	55	27	35	14	4
ID=fig|823.92.peg.864;Name=Membrane-bound lytic murein transglycosylase D	16	48	44	46	123	50	71	26	29	55	95	41	55	28	18
ID=fig|823.92.peg.865;Name=FIG00899335: hypothetical protein	41	54	39	43	81	48	84	30	29	64	56	38	54	22	22
ID=fig|823.92.peg.866;Name=Chromosome (plasmid) partitioning protein ParB	75	93	62	66	117	85	153	42	77	119	112	51	108	42	23
ID=fig|823.92.peg.867;Name=Chromosome (plasmid) partitioning protein ParA	218	137	101	138	229	132	247	72	106	148	183	108	172	107	69
ID=fig|823.92.peg.868;Name=hypothetical protein	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.869;Name=hypothetical protein	5	0	6	0	0	4	1	0	2	2	0	6	2	3	2
ID=fig|823.92.peg.870;Name=FIG00896559: hypothetical protein	4161	14679	10675	8086	10851	5813	12837	3901	6845	19061	26455	23156	22487	10782	8945
ID=fig|823.92.peg.871;Name=Biotin--protein ligase (EC 6.3.4.9)(EC 6.3.4.10)(EC 6.3.4.11)(EC 6.3.4.15);Ontology_term=KEGG_ENZYME:6.3.4.9,KEGG_ENZYME:6.3.4.10,KEGG_ENZYME:6.3.4.11,KEGG_ENZYME:6.3.4.15	3	6	10	2	8	4	10	4	4	6	6	12	8	6	6
ID=fig|823.92.peg.872;Name=FIG00898592: hypothetical protein	1	4	4	2	4	4	6	3	0	8	9	12	8	6	2
ID=fig|823.92.peg.873;Name=UPF0102 protein BT_2236	8	8	2	2	12	8	10	5	10	23	15	14	6	6	2
ID=fig|823.92.peg.874;Name=FIG00898415: hypothetical protein	8	2	9	4	20	12	12	6	3	11	22	20	13	6	1
ID=fig|823.92.peg.875;Name=tRNA-specific adenosine-34 deaminase (EC 3.5.4.33);Ontology_term=KEGG_ENZYME:3.5.4.33	0	9	5	8	20	12	13	16	7	22	10	11	16	7	5
ID=fig|823.92.peg.876;Name=FIG00897747: hypothetical protein	12	5	20	20	29	24	27	4	6	12	24	23	17	27	6
ID=fig|823.92.peg.877;Name=CDP-diacylglycerol--serine O-phosphatidyltransferase (EC 2.7.8.8);Ontology_term=KEGG_ENZYME:2.7.8.8	8	16	12	16	39	20	48	6	15	30	28	22	34	8	8
ID=fig|823.92.peg.878;Name=Phosphatidylserine decarboxylase (EC 4.1.1.65);Ontology_term=KEGG_ENZYME:4.1.1.65	14	30	20	22	48	24	36	4	17	31	56	28	46	16	6
ID=fig|823.92.peg.879;Name=ATP-dependent helicase	48	95	94	84	161	153	151	58	84	131	142	130	74	84	56
ID=fig|823.92.peg.880;Name=Translation initiation factor SUI1-related protein	12	3	8	2	5	7	16	10	2	16	24	24	8	4	2
ID=fig|823.92.peg.881;Name=FIG00898336: hypothetical protein	4	8	10	6	10	4	8	2	8	2	12	22	8	4	4
ID=fig|823.92.peg.882;Name=hypothetical protein	2	0	0	0	0	0	0	0	0	0	0	4	2	0	0
ID=fig|823.92.peg.883;Name=Two-component system sensor histidine kinase	13	30	43	18	56	44	60	26	31	40	49	55	58	32	18
ID=fig|823.92.peg.884;Name=2-C-methyl-D-erythritol 2%2C4-cyclodiphosphate synthase (EC 4.6.1.12);Ontology_term=KEGG_ENZYME:4.6.1.12	25	29	23	22	35	29	54	7	8	32	23	49	37	26	16
ID=fig|823.92.peg.885;Name=FIG00897671: hypothetical protein	34	48	32	20	51	39	57	15	31	60	82	40	69	28	16
ID=fig|823.92.peg.886;Name=FIG00936082: hypothetical protein	114	68	68	44	61	42	84	22	34	76	86	99	86	68	24
ID=fig|823.92.peg.887;Name=Fumarylacetoacetate hydrolase family protein	24	40	22	22	34	14	26	12	12	24	40	45	43	14	12
ID=fig|823.92.peg.888;Name=Redox-sensing transcriptional repressor Rex	10	16	16	8	12	6	24	8	8	11	39	22	19	4	4
ID=fig|823.92.peg.889;Name=Secreted protein containing N-terminal Zinc-dependent carboxypeptidase related domain	42	47	44	22	62	32	76	20	50	101	89	70	36	36	36
ID=fig|823.92.peg.890;Name=FIG00896559: hypothetical protein	194	532	527	302	496	4165	552	152	1022	1349	857	1485	792	377	300
ID=fig|823.92.peg.891;Name=hypothetical protein	0	0	0	0	2	0	4	0	0	0	2	8	2	4	4
ID=fig|823.92.peg.892;Name=Cytosol nonspecific dipeptidase (EC 3.4.13.18);Ontology_term=KEGG_ENZYME:3.4.13.18	83	134	132	93	146	128	136	36	54	174	197	226	138	110	36
ID=fig|823.92.peg.893;Name=putative dolichol-P-glucose synthetase	32	12	26	35	32	22	30	14	16	38	60	34	28	25	12
ID=fig|823.92.peg.895;Name=Mg/Co/Ni transporter MgtE%2C CBS domain-containing	28	23	40	33	58	33	39	8	12	70	62	53	50	29	16
ID=fig|823.92.peg.896;Name=Antiholin-like protein LrgA	0	2	4	2	4	4	1	2	0	3	12	4	4	6	4
ID=fig|823.92.peg.897;Name=LrgA-associated membrane protein LrgB	6	2	0	4	10	4	1	2	4	9	6	6	4	2	0
ID=fig|823.92.peg.898;Name=Translation elongation factor P	176	84	84	70	176	48	127	20	42	102	172	86	136	54	34
ID=fig|823.92.peg.899;Name=UPF0758 family protein	2	2	0	4	8	2	2	0	0	6	10	6	0	6	2
ID=fig|823.92.peg.900;Name=PaaD-like protein (DUF59) involved in Fe-S cluster assembly	52	19	40	18	30	15	46	33	21	28	50	55	14	27	8
ID=fig|823.92.peg.901;Name=UDP-2%2C3-diacylglucosamine diphosphatase (EC 3.6.1.54);Ontology_term=KEGG_ENZYME:3.6.1.54	62	73	52	52	90	61	76	43	61	78	71	88	64	45	30
ID=fig|823.92.peg.902;Name=Phosphate ABC transporter%2C periplasmic phosphate-binding protein PstS (TC 3.A.1.7.1)	2	2	4	0	4	2	10	4	4	9	7	5	2	6	0
ID=fig|823.92.peg.903;Name=FIG00899102: hypothetical protein	0	8	12	6	22	10	22	8	20	10	18	10	14	2	8
ID=fig|823.92.peg.904;Name=Enoyl-[acyl-carrier-protein] reductase [FMN] (EC 1.3.1.9);Ontology_term=KEGG_ENZYME:1.3.1.9	12	16	26	12	48	6	20	16	18	68	52	28	68	20	18
ID=fig|823.92.peg.905;Name=Immunoreactive 53 kDa antigen PG123	18	48	35	65	36	28	66	30	34	44	73	70	10	18	3
ID=fig|823.92.peg.906;Name=FIG00897521: hypothetical protein	10	10	21	21	10	6	32	6	10	16	29	18	0	26	1
ID=fig|823.92.peg.907;Name=Transcriptional regulator	106	76	132	22	73	31	59	52	42	216	250	316	21	194	21
ID=fig|823.92.peg.908;Name=Repair of Iron Centers di-iron protein	4	42	70	40	48	49	53	39	67	149	222	271	31	112	13
ID=fig|823.92.peg.909;Name=uncharacterized domain / RidA/YER057c/UK114 superfamily%2C group 5	163	88	290	94	119	82	57	107	87	451	442	734	4	351	4
ID=fig|823.92.peg.910;Name=FIG00896915: hypothetical protein	18	24	81	14	37	24	15	28	31	167	218	256	0	142	0
ID=fig|823.92.peg.911;Name=FIG00897404: hypothetical protein	17	34	87	10	53	27	18	40	35	172	267	289	0	134	0
ID=fig|823.92.peg.912;Name=Probable thiol oxidoreductase with 2 cytochrome c heme-binding sites	63	62	254	31	83	58	27	50	59	291	532	619	2	296	1
ID=fig|823.92.peg.913;Name=Iron-regulated protein A precursor	69	130	393	68	172	59	41	76	107	660	839	1270	8	514	7
ID=fig|823.92.peg.914;Name=FIG00896529: hypothetical protein	58	34	95	23	53	30	20	24	38	162	363	364	2	146	0
ID=fig|823.92.peg.915;Name=HicA protein	4	4	2	24	12	9	55	10	28	14	26	13	25	6	23
ID=fig|823.92.peg.916;Name=HicB	20	26	8	34	56	23	91	52	44	46	36	27	75	30	30
ID=fig|823.92.peg.917;Name=FIG00898786: hypothetical protein	2	2	8	4	4	4	8	6	6	19	16	16	4	21	2
ID=fig|823.92.peg.918;Name=hypothetical protein	17	2	1	2	3	2	2	0	5	11	7	11	7	5	6
ID=fig|823.92.peg.919;Name=hypothetical protein	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
ID=fig|823.92.peg.920;Name=hypothetical protein	5	0	3	0	0	0	0	0	0	2	3	0	0	0	0
ID=fig|823.92.peg.921;Name=Putative DNA-binding protein in cluster with Type I restriction-modification system	17	6	9	6	10	2	12	4	4	10	31	14	30	8	6
ID=fig|823.92.peg.922;Name=hypothetical protein	2	0	2	0	0	0	0	0	0	2	4	0	0	8	0
ID=fig|823.92.peg.923;Name=Arylsulfatase (EC 3.1.6.1);Ontology_term=KEGG_ENZYME:3.1.6.1	65	114	99	61	87	62	58	49	67	135	142	173	102	96	70
ID=fig|823.92.peg.924;Name=Choline-sulfatase (EC 3.1.6.6);Ontology_term=KEGG_ENZYME:3.1.6.6	31	44	37	13	23	28	21	17	41	53	30	89	36	60	22
ID=fig|823.92.peg.925;Name=Transporter%2C LysE family	16	14	26	14	26	22	17	4	4	45	33	20	26	14	10
ID=fig|823.92.peg.926;Name=FIG00897871: hypothetical protein	18	42	28	24	34	22	38	14	16	45	61	44	48	21	36
ID=fig|823.92.peg.927;Name=FIG00898090: hypothetical protein	4	8	10	16	16	14	26	12	18	6	6	14	4	12	4
ID=fig|823.92.peg.928;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.929;Name=RNA polymerase ECF-type sigma factor	2	4	4	2	5	7	8	8	10	6	10	14	4	12	10
ID=fig|823.92.peg.930;Name=Two-component system sensor histidine kinase	12	19	14	18	10	14	18	10	8	28	33	18	16	19	6
ID=fig|823.92.peg.931;Name=Two-component system sensor histidine kinase	10	6	22	9	18	10	14	6	8	20	42	12	18	13	12
ID=fig|823.92.peg.932;Name=SSU ribosomal protein S1p	381	359	443	399	1351	310	939	162	322	609	2007	537	1179	340	179
ID=fig|823.92.peg.933;Name=FIG00897575: hypothetical protein	132	84	42	82	86	82	379	42	290	100	199	145	206	60	114
ID=fig|823.92.peg.934;Name=Phosphoglycolate phosphatase (EC 3.1.3.18);Ontology_term=KEGG_ENZYME:3.1.3.18	2	2	4	6	24	12	54	8	16	12	20	8	18	2	2
ID=fig|823.92.peg.935;Name=Transcriptional regulator%2C AraC family	28	21	13	37	58	48	94	40	81	52	56	60	56	12	20
ID=fig|823.92.peg.936;Name=putative histone-like protein	24	31	35	19	59	28	115	38	81	40	48	28	72	16	30
ID=fig|823.92.peg.937;Name=Xylose isomerase domain protein TIM barrel	44	70	38	12	55	15	15	14	44	574	324	645	72	83	22
ID=fig|823.92.peg.938;Name=Putative NADH-dependent dehydrogenase	684	258	224	74	172	125	112	112	108	1048	718	1173	228	317	66
ID=fig|823.92.peg.939;Name=FIG00898206: hypothetical protein	44	32	38	20	12	26	32	12	18	60	80	74	64	40	18
ID=fig|823.92.peg.940;Name=FIG00899389: hypothetical protein	0	0	2	0	0	0	1	0	0	2	4	2	2	0	0
ID=fig|823.92.peg.941;Name=FIG00898186: hypothetical protein	2	0	0	0	2	0	3	0	0	2	0	0	0	0	0
ID=fig|823.92.peg.942;Name=Phosphoglycerate mutase (EC 5.4.2.1);Ontology_term=KEGG_ENZYME:5.4.2.1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.943;Name=FIG00897385: hypothetical protein	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.944;Name=3-deoxy-manno-octulosonate cytidylyltransferase (EC 2.7.7.38);Ontology_term=KEGG_ENZYME:2.7.7.38	0	0	0	2	0	0	0	0	0	0	0	0	2	2	0
ID=fig|823.92.peg.945;Name=FIG00896371: hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.946;Name=FIG00896559: hypothetical protein	4	7	6	6	8	4	10	2	6	24	18	18	12	10	2
ID=fig|823.92.peg.947;Name=Transposase	100	93	121	99	145	123	192	62	125	152	208	310	120	128	113
ID=fig|823.92.peg.948;Name=5'-nucleotidase SurE (EC 3.1.3.5);Ontology_term=KEGG_ENZYME:3.1.3.5	52	73	72	45	76	44	80	60	59	90	85	118	80	51	23
ID=fig|823.92.peg.949;Name=Lipid-A-disaccharide synthase (EC 2.4.1.182);Ontology_term=KEGG_ENZYME:2.4.1.182	9	6	20	16	27	11	22	10	4	22	25	14	19	17	8
ID=fig|823.92.peg.950;Name=FIG00897799: hypothetical protein	427	717	426	1411	2438	1754	3908	1717	2718	586	1010	757	1276	666	837
ID=fig|823.92.peg.951;Name=RNA polymerase ECF-type sigma factor	9	20	69	121	173	226	292	175	141	18	29	16	26	33	22
ID=fig|823.92.peg.952;Name=FIG00898400: hypothetical protein	5	31	27	135	175	231	305	174	174	30	10	31	24	23	22
ID=fig|823.92.peg.953;Name=FIG00897200: hypothetical protein	132	164	221	517	706	863	1204	622	1091	121	127	135	148	147	90
ID=fig|823.92.peg.954;Name=FIG00898958: hypothetical protein	18	21	15	24	46	45	67	27	30	10	17	16	16	17	8
ID=fig|823.92.peg.955;Name=RNA polymerase ECF-type sigma factor	0	4	5	3	14	7	12	10	18	3	12	10	11	4	2
ID=fig|823.92.peg.956;Name=FIG00898651: hypothetical protein	18	19	13	20	26	6	44	14	28	6	19	24	6	4	6
ID=fig|823.92.peg.957;Name=hypothetical protein	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.958;Name=Myo-inositol 2-dehydrogenase (EC 1.1.1.18);Ontology_term=KEGG_ENZYME:1.1.1.18	103	287	278	66	156	108	114	62	83	629	768	864	246	207	82
ID=fig|823.92.peg.959;Name=FIG00899032: hypothetical protein	12	61	43	16	32	17	26	11	22	94	183	150	54	35	14
ID=fig|823.92.peg.960;Name=Putative secreted glycosyl hydrolase	469	1004	766	178	356	317	360	132	266	1284	1946	1854	909	439	258
ID=fig|823.92.peg.961;Name=Myo-inositol 2-dehydrogenase (EC 1.1.1.18);Ontology_term=KEGG_ENZYME:1.1.1.18	143	873	966	269	353	311	415	135	236	1498	2298	2057	952	448	312
ID=fig|823.92.peg.962;Name=FIG00896375: hypothetical protein	31	2	3	23	5	2	17	0	7	26	15	27	16	29	8
ID=fig|823.92.peg.963;Name=Cytochrome d ubiquinol oxidase subunit I (EC 1.10.3.-);Ontology_term=KEGG_ENZYME:1.10.3.-	76	102	132	87	117	147	147	85	96	389	222	302	150	161	46
ID=fig|823.92.peg.964;Name=Cytochrome d ubiquinol oxidase subunit II (EC 1.10.3.-);Ontology_term=KEGG_ENZYME:1.10.3.-	85	132	131	86	78	99	142	39	77	360	264	252	202	96	35
ID=fig|823.92.peg.965;Name=Peptidase M28	14	18	22	12	10	14	24	0	18	33	22	32	16	12	13
ID=fig|823.92.peg.966;Name=Ribonuclease Z (EC 3.1.26.11);Ontology_term=KEGG_ENZYME:3.1.26.11	2	14	8	6	10	10	12	0	0	14	10	8	8	4	4
ID=fig|823.92.peg.967;Name=FIG00899040: hypothetical protein	10	2	10	10	14	18	34	12	10	26	20	34	16	6	0
ID=fig|823.92.peg.968;Name=FIG00896559: hypothetical protein	203	297	339	262	375	451	666	180	362	442	1006	802	651	314	284
ID=fig|823.92.repeat.10;Name=repeat region	0	0	0	0	0	0	1	0	1	1	0	1	1	0	0
ID=fig|823.92.peg.969;Name=Mobile element protein	8	6	8	15	11	13	30	8	22	14	20	28	20	10	6
ID=fig|823.92.peg.970;Name=Transposase	68	90	57	53	79	75	106	52	68	89	144	187	76	53	52
ID=fig|823.92.peg.971;Name=FIG00896913: hypothetical protein	112	141	137	86	153	96	159	50	77	145	191	155	196	102	57
ID=fig|823.92.peg.972;Name=2%2C3-bisphosphoglycerate-independent phosphoglycerate mutase (EC 5.4.2.12);Ontology_term=KEGG_ENZYME:5.4.2.12	142	280	226	184	339	202	378	122	169	376	407	202	340	164	118
ID=fig|823.92.peg.973;Name=FIG00899063: hypothetical protein	8	7	6	17	30	10	17	14	19	27	43	12	22	18	6
ID=fig|823.92.peg.974;Name=TonB-dependent receptor	44	63	44	35	84	48	90	36	52	83	53	59	50	49	28
